question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
853,0.192199981,0,0.000694444,77.36597221,103.93976,26.57378779,4
853,0.2048,0,0.000694444,77.36666665,103.93976,26.57309335,4
853,0.336200025,0,0.000694444,77.36736109,103.93976,26.57239891,4
853,0.288800061,0,0.000694444,77.36805554,103.93976,26.57170446,4
853,0.168200012,0,0.003472222,77.37152776,103.93976,26.56823224,4
853,0.204800045,7.00E-05,0.035416667,77.40694443,103.93976,26.53281557,4
853,0.336199975,0.00025,0.079166667,77.48611109,103.93976,26.45364891,4
853,0.2888,1.00E-05,0.002083333,77.48819443,103.93976,26.45156557,4
853,0.588898009,1.00E-05,0.002083333,77.49027776,103.93976,26.44948224,4
853,0.288799977,1.00E-05,0.002777778,77.49305554,103.93976,26.44670446,4
853,0.405,1.00E-05,0.001388889,77.49444443,103.93976,26.44531557,4
853,0.320000032,1.00E-05,0.002777778,77.4972222,103.93976,26.4425378,4
853,0.288799954,1.00E-05,0.003472222,77.50069443,103.93976,26.43906557,4
853,0.217800026,0,0.000694444,77.50138887,103.93976,26.43837113,4
853,0.240818,0,0.002083333,77.5034722,103.93976,26.4362878,4
853,0.217799987,0,0.000694444,77.50416665,103.93976,26.43559335,4
853,0.2312,0,0.001388889,77.50555554,103.93976,26.43420446,4
853,0.336200025,0,0,77.50555554,103.93976,26.43420446,4
853,0.217800026,0,0.002083333,77.50763887,103.93976,26.43212113,4
853,0.244999972,0,0,77.50763887,103.93976,26.43212113,4
853,0.2592,1.00E-05,0.002083333,77.5097222,103.93976,26.4300378,4
853,0.1568,0,0.002777778,77.51249998,103.93976,26.42726002,4
853,0.246402028,0,0.000694444,77.51319442,103.93976,26.42656558,4
853,0.1518005,0,0.002083333,77.51527776,103.93976,26.42448224,4
853,0.245,0,0.000694444,77.5159722,103.93976,26.4237878,4
853,0.151250011,1.00E-05,0.008333333,77.52430553,103.93976,26.41545447,4
853,0.244999972,0,0.001388889,77.52569442,103.93976,26.41406558,4
853,0.15125,0,0.000694444,77.52638887,103.93976,26.41337113,4
853,0.2178,0,0,77.52638887,103.93976,26.41337113,4
853,0.259200029,0,0.001388889,77.52777776,103.93976,26.41198224,4
853,0.156800034,0,0.001388889,77.52916665,103.93976,26.41059335,4
853,0.245,0,0.000694444,77.52986109,103.93976,26.40989891,4
853,0.204799968,0,0.000694444,77.53055553,103.93976,26.40920447,4
853,0.245000014,0,0.002083333,77.53263887,103.93976,26.40712113,4
853,0.2592,0,0.000694444,77.53333331,103.93976,26.40642669,4
853,0.288799977,0,0.000694444,77.53402775,103.93976,26.40573225,4
853,0.2592,0,0.001388889,77.53541664,103.93976,26.40434336,4
853,0.319999984,0,0.000694444,77.53611109,103.93976,26.40364891,4
853,0.124999985,0,0.001388889,77.53749998,103.93976,26.40226002,4
853,0.192199981,0,0.002083333,77.53958331,103.93976,26.40017669,4
853,0.217799921,0,0,77.53958331,103.93976,26.40017669,4
853,0.11877937,1.00E-05,0.005555556,77.54513887,103.93976,26.39462113,4
853,0.15680005,0,0.002777778,77.54791664,103.93976,26.39184336,4
853,0.320000032,1.00E-05,0.001388889,77.54930553,103.93976,26.39045447,4
853,0.288799954,7.00E-05,0.027777778,77.57708331,103.93976,26.36267669,4
853,0.192200037,7.00E-05,0.0375,77.61458331,103.93976,26.32517669,4
853,0.204800064,2.00E-05,0.009722222,77.62430553,103.93976,26.31545447,4
853,0.244999986,0.00079,0.346527778,77.97083331,103.93976,25.96892669,4
853,0.231200088,1.00E-05,0.002777778,77.97361109,103.93976,25.96614891,4
853,0.17999991,1.00E-05,0.003472222,77.97708331,103.93976,25.96267669,4
853,0.192200019,1.00E-05,0.005555556,77.98263887,103.93976,25.95712113,4
853,0.217800053,0,0.001388889,77.98402776,103.93976,25.95573224,4
853,0.23119998,8.00E-05,0.038194444,78.0222222,103.93976,25.9175378,4
853,0.124999985,2.00E-05,0.013194444,78.03541664,103.93976,25.90434336,4
853,0.23119998,1.00E-05,0.003472222,78.03888887,103.93976,25.90087113,4
853,0.124999985,2.00E-05,0.015277778,78.05416664,103.93976,25.88559336,4
853,0.192199981,1.00E-05,0.006944444,78.06111109,103.93976,25.87864891,4
853,0.12499997,6.00E-05,0.048611111,78.1097222,103.93976,25.8300378,4
853,0.217799967,4.00E-05,0.020138889,78.12986109,103.93976,25.80989891,4
853,0.192199963,7.00E-05,0.039583333,78.16944442,103.93976,25.77031558,4
853,0.156799983,0.00124,0.845833333,79.01527775,103.93976,24.92448225,4
853,0.18,0.00014,0.080555556,79.09583331,103.93976,24.84392669,4
853,0.156800017,0,0.002083333,79.09791664,103.93976,24.84184336,4
853,0.064799996,0,0.002777778,79.10069442,103.93976,24.83906558,4
853,0.145799989,5.00E-05,0.038194444,79.13888886,103.93976,24.80087114,4
853,0.1352,0,0,79.13888886,103.93976,24.80087114,4
853,0.12500003,4.00E-05,0.033333333,79.1722222,103.93976,24.7675378,4
853,0.019999996,0,0.020833333,79.19305553,103.93976,24.74670447,4
853,0.125,2.00E-05,0.0125,79.20555553,103.93976,24.73420447,4
853,0.020000002,4.00E-05,0.210416667,79.4159722,103.93976,24.5237878,4
853,0.088200017,0.00046,0.55625,79.9722222,103.93976,23.9675378,4
853,0.019999996,1.00E-05,0.049305556,80.02152775,103.93976,23.91823225,4
853,0.088200004,0,0.004861111,80.02638886,103.93976,23.91337114,4
853,0.019999998,3.00E-05,0.184027778,80.21041664,103.93976,23.72934336,4
853,0.064799996,0.00047,0.777777778,80.98819442,103.93976,22.95156558,4
853,0.179999958,1.00E-05,0.005555556,80.99374998,103.93976,22.94601002,4
853,0.245000014,1.00E-05,0.004861111,80.99861109,103.93976,22.94114891,4
853,0.192200056,0,0.001388889,80.99999998,103.93976,22.93976002,4
853,2.00E-12,0,0.114583333,81.11458331,103.93976,22.82517669,4
853,0.405,0.00172,0.454861111,81.56944442,103.93976,22.37031558,4
853,0.3528,0.00117,0.354861111,81.92430553,103.93976,22.01545447,4
853,0.0968,2.00E-05,0.017361111,81.94166664,103.93976,21.99809336,4
853,0.145799989,2.00E-05,0.018055556,81.9597222,103.93976,21.9800378,4
