"user_id","user_role_id","created_at","updated_at"
1028,13,"2014-02-24 13:57:22.663519","2014-02-24 13:57:22.663519"
1035,13,"2014-02-24 13:57:31.8674","2014-02-24 13:57:31.8674"
1047,13,"2014-02-24 13:57:40.391016","2014-02-24 13:57:40.391016"
1053,13,"2014-02-24 13:57:53.353801","2014-02-24 13:57:53.353801"
1892,131,"2014-06-05 10:23:23.424152","2014-06-05 10:23:23.424152"
294,14,"2014-02-24 14:08:08.502094","2014-02-24 14:08:08.502094"
360,14,"2014-02-24 14:08:21.949769","2014-02-24 14:08:21.949769"
491,14,"2014-02-24 14:09:11.090291","2014-02-24 14:09:11.090291"
836,14,"2014-02-24 14:09:27.764565","2014-02-24 14:09:27.764565"
1041,14,"2014-02-24 14:10:29.999962","2014-02-24 14:10:29.999962"
1056,14,"2014-02-24 14:11:21.733168","2014-02-24 14:11:21.733168"
1908,131,"2014-06-05 10:26:49.836586","2014-06-05 10:26:49.836586"
1159,14,"2014-02-24 14:11:42.077187","2014-02-24 14:11:42.077187"
1913,131,"2014-06-05 10:28:21.432535","2014-06-05 10:28:21.432535"
1930,131,"2014-06-05 10:30:21.572531","2014-06-05 10:30:21.572531"
325,14,"2014-02-24 14:13:00.577669","2014-02-24 14:13:00.577669"
362,14,"2014-02-24 14:13:10.72656","2014-02-24 14:13:10.72656"
406,14,"2014-02-24 14:16:20.603192","2014-02-24 14:16:20.603192"
426,14,"2014-02-24 14:16:31.574268","2014-02-24 14:16:31.574268"
464,14,"2014-02-24 14:16:40.773301","2014-02-24 14:16:40.773301"
494,14,"2014-02-24 14:17:10.751654","2014-02-24 14:17:10.751654"
527,14,"2014-02-24 14:17:20.121164","2014-02-24 14:17:20.121164"
634,14,"2014-02-24 14:17:29.964157","2014-02-24 14:17:29.964157"
699,14,"2014-02-24 14:17:39.377276","2014-02-24 14:17:39.377276"
774,14,"2014-02-24 14:18:03.295979","2014-02-24 14:18:03.295979"
833,14,"2014-02-24 14:18:27.309461","2014-02-24 14:18:27.309461"
1946,131,"2014-06-05 10:31:40.131698","2014-06-05 10:31:40.131698"
1980,131,"2014-06-05 10:32:52.822696","2014-06-05 10:32:52.822696"
1140,14,"2014-02-24 14:19:44.163419","2014-02-24 14:19:44.163419"
1986,131,"2014-06-05 10:34:12.130984","2014-06-05 10:34:12.130984"
