"user_id","user_role_id","updated_at","created_at"
5623,3,"2014-06-22 03:39:10.007428","2014-06-22 03:39:10.007428"
5624,3,"2014-06-22 03:41:08.829487","2014-06-22 03:41:08.829487"
5625,3,"2014-06-22 03:42:07.544903","2014-06-22 03:42:07.544903"
5626,3,"2014-06-22 03:43:14.819109","2014-06-22 03:43:14.819109"
5628,3,"2014-06-22 03:45:26.434536","2014-06-22 03:45:26.434536"
5631,3,"2014-06-22 03:49:36.653067","2014-06-22 03:49:36.653067"
5637,3,"2014-06-22 04:04:31.913211","2014-06-22 04:04:31.913211"
5638,3,"2014-06-22 04:06:58.067026","2014-06-22 04:06:58.067026"
5645,3,"2014-06-22 04:13:46.355666","2014-06-22 04:13:46.355666"
5647,3,"2014-06-22 04:17:13.482621","2014-06-22 04:17:13.482621"
5651,3,"2014-06-22 04:21:41.094472","2014-06-22 04:21:41.094472"
5669,3,"2014-06-22 04:59:33.691558","2014-06-22 04:59:33.691558"
5676,3,"2014-06-22 05:13:54.177315","2014-06-22 05:13:54.177315"
5679,3,"2014-06-22 05:17:02.264007","2014-06-22 05:17:02.264007"
5680,3,"2014-06-22 05:19:50.132932","2014-06-22 05:19:50.132932"
5686,3,"2014-06-22 05:32:25.328802","2014-06-22 05:32:25.328802"
5696,3,"2014-06-22 05:45:58.744825","2014-06-22 05:45:58.744825"
5700,3,"2014-06-22 05:53:37.729119","2014-06-22 05:53:37.729119"
5704,3,"2014-06-22 06:04:30.572082","2014-06-22 06:04:30.572082"
5710,3,"2014-06-22 06:24:47.066368","2014-06-22 06:24:47.066368"
5715,3,"2014-06-22 06:46:12.689908","2014-06-22 06:46:12.689908"
5716,3,"2014-06-22 06:47:05.400686","2014-06-22 06:47:05.400686"
5720,3,"2014-06-22 06:54:51.669465","2014-06-22 06:54:51.669465"
5725,3,"2014-06-22 07:05:31.139462","2014-06-22 07:05:31.139462"
5746,3,"2014-06-22 07:50:17.67514","2014-06-22 07:50:17.67514"
5747,3,"2014-06-22 07:53:11.01231","2014-06-22 07:53:11.01231"
5748,3,"2014-06-22 07:54:23.706871","2014-06-22 07:54:23.706871"
5751,3,"2014-06-22 08:04:33.399178","2014-06-22 08:04:33.399178"
5754,3,"2014-06-22 08:10:16.365171","2014-06-22 08:10:16.365171"
5755,3,"2014-06-22 08:10:21.667848","2014-06-22 08:10:21.667848"
