"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
101,8840,"recurring","100",NULL,NULL,False,True,"2014-07-10 07:48:05.611088","2014-07-17 07:48:05.611088","2014-07-10 07:48:05.598887","2014-07-10 07:48:05.598887"
102,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 09:10:59.57511","2014-07-17 09:10:59.57511","2014-07-10 09:10:59.555489","2014-07-10 09:10:59.555489"
103,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 09:13:42.144058","2014-07-17 09:13:42.144058","2014-07-10 09:13:42.123112","2014-07-10 09:13:42.123112"
104,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 09:18:20.627388","2014-07-17 09:18:20.627388","2014-07-10 09:18:20.605286","2014-07-10 09:18:20.605286"
105,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 09:19:54.926633","2014-07-17 09:19:54.926633","2014-07-10 09:19:54.903194","2014-07-10 09:19:54.903194"
106,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 09:22:36.524762","2014-07-17 09:22:36.524762","2014-07-10 09:22:36.501304","2014-07-10 09:22:36.501304"
107,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 13:27:24.733916","2014-07-17 13:27:24.733916","2014-07-10 13:27:24.708731","2014-07-10 13:27:24.708731"
108,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 15:59:40.627394","2014-07-17 15:59:40.627394","2014-07-10 15:59:40.602477","2014-07-10 15:59:40.602477"
109,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 16:01:55.642758","2014-07-17 16:01:55.642758","2014-07-10 16:01:55.617099","2014-07-10 16:01:55.617099"
110,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 18:16:01.799151","2014-07-17 18:16:01.799151","2014-07-10 18:16:01.771613","2014-07-10 18:16:01.771613"
111,8848,"recurring","100",NULL,NULL,False,True,"2014-07-11 02:32:01.253367","2014-07-18 02:32:01.253367","2014-07-11 02:32:01.240951","2014-07-11 02:32:01.240951"
